ID	Kind	Name	WorldFlag	Weight	NpcStay	UnLockLevel	PopTip	Desc	ClassName	sParam1	fParam1	sParam2	fParam2	sParam3	fParam3	sParam4	fParam4
67933	SchoolPowerUp	实力上升		1		4		据传{0}的掌门见门下弟子皆努力修行，深感欣慰，一时间心情大好，将门中大量天材地宝赏赐给资质不错的弟子，一时间竟一连出现数个修行奇才{1}、{2}、{3}等，实力直逼元神境界。{0}再添三名大能。	EventPower				5000	AddElder	3		

67940	SchoolPowerUp	实力上升		1	1	4		据传{0}在[PLACE]内找到了【武穆遗书】里记载的结界，并成功进入，不但得到了【武穆遗书】的真传，还收获了大量的阵法秘籍。{0}因此番奇遇，门派实力大涨。	EventPower				2300			Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
67941	SchoolPowerUp	实力上升		1	1	4		据传{0}在[PLACE]内找到了【上古丹宗】遗留在凡间的一方小世界，因此而获得大量天材地宝、灵丹妙药等。{0}因此番奇遇，门派实力大涨。	EventPower				2700			Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
67942	SchoolPowerUp	实力上升		1	1	4		据传{0}在[PLACE]内找到了【上古器宗】遗留在凡间的一方小世界，因此而获得大量秘藏法器、稀世秘宝等。{0}因此番奇遇，门派实力大涨。	EventPower				2700			Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
67943	SchoolPowerUp	实力上升		1	1	4		据传{0}在[PLACE]内找到了【上古法宗】遗留在凡间的一方小世界，因此而获得大量不传秘籍、典藏经书等。{0}因此番奇遇，门派实力大涨。	EventPower				2700			Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
67944	SchoolPowerUp	实力上升		1	1	4		据传{0}在[PLACE]内找到了【上古符宗】遗留在凡间的一方小世界，因此而获得大量先天元灵、精妙符篆等。{0}因此番奇遇，门派实力大涨。	EventPower				2700			Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
67945	SchoolPowerUp	实力上升		1	1	4		据传{0}在[PLACE]内找到了【上古剑宗】遗留在凡间的一方小世界，因此而获得大量无上神通、玄冥妙法等。{0}因此番奇遇，门派实力大涨。	EventPower				2700			Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	

















																	

