ID	Name	Place	Once	Story	Auto	Begin	Duration	Interval	Desc	EndDesc	Hide
979	上古道统	Place_YuJianShanZhuang_1		YuJianShanZhuang_2	0		3		听说[TXT]白日星坠，地涌金莲，疑有上古器宗的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了上古器宗的道统。	
980	上古道统	Place_YuJianShanZhuang_1		YuJianShanZhuang_3	0		3		听说[TXT]白日星坠，地涌金莲，疑有上古器宗的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了上古器宗的道统。	
981	上古道统	Place_YiJieLieFeng		YiYu_1	0		3		听说[TXT]白日星坠，地涌金莲，疑有天外异域的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了天外异域的道统。	
982	上古道统	Place_XiaoYaoFeng_1		XiaoYaoFeng_1	0		3		听说[TXT]白日星坠，地涌金莲，疑有天外异域的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了天外异域的道统。	
983	上古道统	Place_XiaoYaoFeng_1		XiaoYaoFeng_2	0		3		听说[TXT]白日星坠，地涌金莲，疑有天外异域的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了天外异域的道统。	
984	上古道统	Place_XiaoYaoFeng_1		XiaoYaoFeng_3	0		3		听说[TXT]白日星坠，地涌金莲，疑有天外异域的道统即将出世，引八方修行者汇聚。	一名神秘修行者获得了天外异域的道统。	








